t,x1_linear,x2_linear,u_linear,x1_nonlinear,x2_nonlinear,u_nonlinear
0,0,2,20,0,2,20
0.1,0.2,4,20,0.2,4.00491,20.0491
0.2,0.6,5.86,18.6,0.600491,5.86986,18.6495
0.3,1.186,7.54,16.8,1.18748,7.5528,16.8294
0.4,1.94,9.0098,14.698,1.94276,9.02374,14.7094
0.5,2.84098,10.2448,12.35,2.84513,10.2606,12.3681
0.6,3.86546,11.2261,9.81314,3.87119,11.2417,9.81119
0.7,4.98807,11.9408,7.14668,4.99536,11.955,7.1332
0.8,6.18215,12.3819,4.4108,6.19085,12.3951,4.40105
0.9,7.42034,12.5484,1.66531,7.43036,12.5584,1.63321
1,8.67518,12.4452,-1.0316,8.68621,12.4536,-1.04803
1.1,9.9197,12.0828,-3.62455,9.93157,12.0876,-3.66018
1.2,11.128,11.4766,-6.06201,11.1403,11.4792,-6.08365
1.3,12.2756,10.6468,-8.29734,12.2883,10.6474,-8.31877
1.4,13.3403,9.61789,-10.2896,13.353,9.61554,-10.3181
1.5,14.3021,8.41748,-12.0041,14.3145,8.41442,-12.0112
1.6,15.1439,7.07617,-13.4132,15.156,7.07271,-13.4172
1.7,15.8515,5.62652,-14.4965,15.8633,5.62184,-14.5087
1.8,16.4141,4.10242,-15.241,16.4254,4.09672,-15.2511
1.9,16.8244,2.53827,-15.6415,16.8351,2.53243,-15.6429
2,17.0782,0.968273,-15.6999,17.0884,0.962952,-15.6948
2.1,17.175,-0.574279,-15.4255,17.1846,-0.57889,-15.4184
2.2,17.1176,-2.0577,-14.8342,17.1268,-2.06188,-14.8299
2.3,16.9118,-3.4525,-13.948,16.9206,-3.45685,-13.9498
2.4,16.5666,-4.73198,-12.7948,16.5749,-4.73691,-12.8006
2.5,16.0934,-5.87267,-11.4069,16.1012,-5.87764,-11.4073
2.6,15.5061,-6.85475,-9.82076,15.5134,-6.85882,-9.81176
2.7,14.8206,-7.66233,-8.07588,14.8276,-7.66628,-8.07464
2.8,14.0544,-8.28372,-6.21389,14.0609,-8.28917,-6.22893
2.9,13.226,-8.71149,-4.27763,13.232,-8.7176,-4.28428
3,12.3549,-8.9425,-2.31019,12.3602,-8.94845,-2.30849
3.1,11.4606,-8.97791,-0.354014,11.4654,-8.98531,-0.368558
3.2,10.5628,-8.82291,1.55,10.5669,-8.83132,1.53983
3.3,9.68055,-8.48658,3.36328,9.68374,-8.49441,3.36915
3.4,8.83189,-7.98154,5.05036,8.8343,-7.9897,5.04707
3.5,8.03373,-7.32359,6.57951,8.03533,-7.33253,6.57171
3.6,7.30138,-6.53126,7.9233,7.30207,-6.53939,7.93136
3.7,6.64825,-5.62536,9.05905,6.64813,-5.63156,9.07838
3.8,6.08571,-4.62844,9.96913,6.08498,-4.63305,9.98507
3.9,5.62287,-3.56432,10.6413,5.62167,-3.568,10.6505
4,5.26644,-2.45747,11.0685,5.26487,-2.46049,11.0751
4.1,5.02069,-1.33254,11.2493,5.01882,-1.33484,11.2566
4.2,4.88744,-0.213806,11.1874,4.88534,-0.215275,11.1956
4.3,4.86606,0.875334,10.8914,4.86381,0.874672,10.8995
4.4,4.95359,1.91281,10.3748,4.95128,1.91287,10.3819
4.5,5.14487,2.87833,9.65516,5.14257,2.87914,9.66271
4.6,5.4327,3.75371,8.75385,5.43048,3.75568,8.76541
4.7,5.80807,4.52326,7.69543,5.80605,4.52701,7.71328
4.8,6.2604,5.17396,6.50699,6.25875,5.1796,6.52592
4.9,6.7778,5.69571,5.21757,6.77671,5.70216,5.22566
5,7.34737,6.08146,3.85743,7.34692,6.08724,3.8508
5.1,7.95551,6.3272,2.45741,7.95565,6.33225,2.45004
5.2,8.58823,6.43202,1.04825,8.58887,6.43745,1.05206
5.3,9.23143,6.39802,-0.340063,9.23262,6.40395,-0.335076
5.4,9.87124,6.23013,-1.67888,9.87301,6.23522,-1.68724
5.5,10.4942,5.93598,-2.94148,10.4965,5.93946,-2.95765
5.6,11.0878,5.52562,-4.10356,11.0905,5.52829,-4.11164
5.7,11.6404,5.01125,-5.14368,11.6433,5.01422,-5.14075
5.8,12.1415,4.40689,-6.04363,12.1447,4.41031,-6.03903
5.9,12.5822,3.72802,-6.7887,12.5858,3.73126,-6.79051
6,12.955,2.99123,-7.36789,12.9589,2.99357,-7.37693
6.1,13.2541,2.21383,-7.77406,13.2582,2.21489,-7.78685
6.2,13.4755,1.41344,-8.00392,13.4797,1.41317,-8.01719
6.3,13.6169,0.607637,-8.05798,13.6211,0.60613,-8.07035
6.4,13.6776,-0.18641,-7.94047,13.6817,-0.189064,-7.95194
6.5,13.659,-0.952319,-7.6591,13.6628,-0.956066,-7.67003
6.6,13.5638,-1.6748,-7.22479,13.5672,-1.67956,-7.23493
6.7,13.3963,-2.33994,-6.65137,13.3992,-2.34548,-6.65918
6.8,13.1623,-2.93545,-5.95517,13.1646,-2.94126,-5.95785
6.9,12.8687,-3.45091,-5.15462,12.8705,-3.45624,-5.14981
7,12.5237,-3.87789,-4.26977,12.5249,-3.88211,-4.2587
7.1,12.1359,-4.21008,-3.32185,12.1367,-4.2132,-3.31087
7.2,11.7149,-4.44336,-2.33279,11.7154,-4.44616,-2.32953
7.3,11.2705,-4.57582,-1.32468,11.2708,-4.57924,-1.33085
7.4,10.8129,-4.60776,-0.319369,10.8128,-4.61204,-0.32796
7.5,10.3522,-4.54156,0.66203,10.3516,-4.54596,0.660756
7.6,9.89801,-4.3816,1.59955,9.89703,-4.38507,1.60895
7.7,9.45985,-4.13413,2.47476,9.45852,-4.13615,2.48918
7.8,9.04644,-3.80702,3.2711,9.04491,-3.80793,3.28218
7.9,8.66573,-3.4096,3.97419,8.66411,-3.41014,3.97794
8,8.32477,-2.95239,4.57204,8.3231,-2.95315,4.5699
8.1,8.02954,-2.44687,5.05525,8.02778,-2.44804,5.05106
8.2,7.78485,-1.90516,5.41713,7.78298,-1.90663,5.41412
8.3,7.59433,-1.33978,5.65374,7.59232,-1.34129,5.65335
8.4,7.46035,-0.763391,5.76391,7.45819,-0.764694,5.76598
8.5,7.38402,-0.188473,5.74918,7.38172,-0.189429,5.75265
8.6,7.36517,0.372893,5.61366,7.36278,0.372287,5.61716
8.7,7.40246,0.909283,5.3639,7.40001,0.9089,5.36614
8.8,7.49339,1.41015,5.00864,7.4909,1.40978,5.00879
8.9,7.6344,1.86601,4.55859,7.63187,1.86545,4.5567
9,7.821,2.26862,4.02613,7.81842,2.26781,4.02356
9.1,8.04786,2.61112,3.42499,8.0452,2.61024,3.42434
9.2,8.30897,2.88811,2.76996,8.30622,2.88765,2.77408
9.3,8.59779,3.09576,2.07649,8.59499,3.09633,2.0868
9.4,8.90736,3.2318,1.36037,8.90462,3.23386,1.37533
9.5,9.23054,3.29554,0.637393,9.22801,3.29912,0.652595
9.6,9.5601,3.28784,-0.0769855,9.55792,3.29244,-0.0668281
9.7,9.88888,3.21104,-0.767963,9.88716,3.21583,-0.766064
9.8,10.21,3.06888,-1.42168,10.2087,3.07309,-1.42742
9.9,10.5169,2.86633,-2.02549,10.5161,2.86958,-2.0351
